"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC","POPR_RA","POPR_RE","TFG","TMG","RMM","TMM","TMM_P","TMN","TMN_P","TMN_T","TMI"
2015,"UF","24",3442175,3168027,1548887,1619140,786002,1777894,604131,385181,902600,331359,0.733,0.733,0.7,0.766,49099,34766,36083,574,8840,11965,12457,9396,4709,1093,62,3,48522,21,26,31,26.0795535550622,6.64313731976872,286,3308,14555,20594,2050,5396,12887,1002,84,30932,30,16924,32175,20555,28544,48006,986,33,296,622,5251,38369,2029,6192,38340,2027,38,39,40,38.490195236152,2.46959810002816,155,9898,4202,4435,24287,22661,26438,19785,29208,45063,1460,68,9826,5914,9253,3779,8383,553,696,971,68,5164,47894,1016,83,101,0,25014,24066,13416,1013,87,31817,34,4183,41868,3045,2925,3250,3565,3212.80495356037,578.867460460883,35933,5780,3015,552,48286,9.02066014169294,0.767158615009039,468,46608,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.3972966984268,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240010",11344,11035,5364,5671,2410,5985,2640,1231,3001,1439,0.679,0.679,NA,NA,150,86,93,3,33,37,40,23,12,2,0,0,147,20,25,29,25.12,6.45263590070865,0,3,44,88,5,8,58,2,0,88,0,41,109,68,82,143,7,0,0,5,10,125,6,15,125,6,38,39,40,38.7739726027397,2.4488436340591,1,10,8,7,78,56,94,77,73,141,3,1,48,11,38,12,14,0,2,6,1,10,149,1,0,0,0,75,75,59,2,0,88,0,12,129,9,2981.25,3275,3500,3188.24,557.956382312953,119,12,7,1,148,8.86577181208054,0.67441384079772,1,148,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.151,9.151,49.9833388870377,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240020",57292,53227,26141,27086,13561,30240,9426,6721,15245,5120,0.661,0.661,NA,NA,793,420,439,8,163,199,204,135,68,16,0,0,785,20,25,30,25.5245901639344,6.54315226248439,4,48,262,343,26,65,124,10,1,536,1,306,487,330,463,778,13,0,5,11,75,633,28,91,633,28,38,39,40,38.3936170212766,2.43353440411434,1,185,56,86,409,323,470,221,566,638,20,0,150,81,122,41,133,8,10,13,0,80,792,0,0,1,0,413,380,125,10,1,536,1,61,667,65,3000,3350,3650,3294.27994955864,583.308860797473,561,124,40,10,780,8.93164556962025,0.752106345761839,4,688,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,42.364,NA,52.0170547720564,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240030",11202,10844,5451,5393,2983,5722,2139,1449,2824,1120,0.585,0.585,NA,NA,134,76,82,3,35,44,26,18,6,2,0,0,131,19,23,27,23.7835820895522,6.34634693370801,0,10,69,47,1,0,19,5,1,88,2,53,81,53,81,131,2,1,0,0,17,99,9,18,99,9,38,39,40,38.5793650793651,2.78381946139666,0,29,11,20,58,115,19,65,69,118,6,0,29,7,35,8,16,4,1,2,0,16,132,1,0,1,0,69,65,19,5,1,90,2,9,109,16,3008.75,3278.5,3603,3297.58208955224,569.695147319873,83,22,10,2,130,8.95454545454546,0.697472387082485,0,126,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,5.475,4.706,47.4504249291785,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240040",3210,2980,1480,1500,760,1644,576,383,816,301,0.616,0.616,NA,NA,42,34,36,1,11,10,14,3,2,1,0,0,41,19,24,28,24.1904761904762,6.28291564769134,0,1,13,23,1,3,16,0,0,25,0,10,32,20,22,42,0,0,0,0,1,34,3,1,34,3,37.25,38,39,38.5263157894737,1.76660985621282,0,1,1,0,37,42,0,6,36,42,0,0,11,6,2,6,12,0,0,0,0,1,42,0,0,0,0,27,15,16,0,0,25,0,3,37,2,3000,3325,3500,3245.83333333333,454.168922945093,28,5,3,0,42,9.28571428571429,0.507779205220493,0,42,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2.055,NA,51.4705882352941,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240050",13852,13507,6616,6891,3225,6946,3336,1580,3493,1818,0.606,0.606,NA,NA,159,117,119,0,37,55,36,20,9,2,0,0,159,20,23,29,24.3836477987421,5.84915740133132,0,6,54,73,8,9,55,0,0,82,0,64,95,77,82,154,4,0,1,1,12,139,3,14,139,3,38,38.5,39,38.3205128205128,1.99995864307943,0,33,15,32,72,25,134,10,148,157,1,0,65,2,23,1,50,0,0,4,0,12,159,0,0,0,0,82,77,55,0,0,82,0,13,143,3,2875,3175,3420,3126.76729559748,502.938305537386,131,12,10,1,158,9.65408805031447,0.75462641762183,1,130,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,13.512,5.513,45.5196106498712,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240060",4899,4871,2497,2374,1159,2646,1066,572,1250,552,0.624,0.624,NA,NA,65,8,10,1,11,17,20,10,4,2,0,0,64,21,26,29,25.7846153846154,6.42381386836392,0,6,22,32,0,3,26,1,0,33,0,46,19,22,43,61,4,0,0,0,6,58,0,6,58,0,37,38,39,38.1875,1.44612234657716,0,17,4,8,32,16,49,15,50,61,4,0,16,2,12,0,20,3,1,4,0,6,65,0,0,0,0,36,29,26,1,0,33,0,9,53,3,2900,3200,3500,3119.44615384615,641.577670443368,44,8,8,0,65,9.03076923076923,0.174035805334596,0,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,3.499,NA,52,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240070",13915,12305,6165,6140,3104,7213,1988,1506,3610,1024,0.672,0.672,NA,NA,194,95,104,2,39,55,50,28,20,0,0,0,192,20,25,29,25.180412371134,6.08773742693688,0,10,43,71,3,7,40,1,2,85,0,37,157,85,109,186,8,0,1,1,23,111,9,25,108,9,37,38,40,38.330985915493,2.39302126905016,0,35,11,13,70,190,4,41,153,125,7,0,24,16,24,7,24,1,4,8,0,15,189,5,0,0,0,97,97,50,2,2,118,2,13,175,6,2868.75,3240,3550,3201.0618556701,523.726450657003,104,14,13,1,193,9.08762886597938,0.725231102271061,0,186,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,9.966,197,53.7396121883656,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240080",11907,11549,5656,5893,2719,6299,2531,1365,3151,1377,0.624,0.624,NA,NA,147,86,90,2,32,37,43,21,7,4,1,0,145,20,25,29,25.2925170068027,6.63036898945697,1,6,58,60,8,8,33,0,0,92,0,58,89,49,98,144,2,0,0,2,13,115,7,15,115,7,37,39,39,38.4379562043796,2.08588151018662,0,16,5,14,99,144,3,49,97,133,2,0,32,11,23,11,34,1,1,2,0,13,145,0,0,1,0,72,75,33,0,0,92,0,6,134,7,2965,3250,3545,3241.23129251701,522.41145370223,105,17,10,1,144,8.98620689655172,0.513514671657649,0,128,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10.507,NA,46.6518565534751,0,0,0,0,0,0,0,0
2015,"MUNICIPIO","240090",7205,6907,3494,3413,1702,3578,1627,804,1755,854,0.578,0.578,NA,NA,110,85,86,1,25,30,24,21,8,1,0,0,109,20,24,30,24.9454545454545,6.2923229234635,1,10,42,43,2,9,41,8,0,48,0,28,82,42,68,107,3,0,0,0,13,94,3,13,94,3,38,38,39,38.1818181818182,1.40889584056972,0,20,3,14,68,53,57,11,99,108,1,0,15,20,11,10,40,0,0,3,0,10,110,0,0,0,0,62,48,41,8,0,48,0,6,103,1,2956.25,3195,3451.25,3193.81818181818,395.893975747751,92,9,5,0,110,9.28181818181818,0.560665040589997,2,101,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2.879,1.527,62.6780626780627,0,0,0,0,0,0,0,0
