"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF","24",3442175,3168027,1548887,1619140,786002,1777894,604131,385181,902600,331359
2015,"MUNICIPIO","2400109",11344,11035,5364,5671,2410,5985,2640,1231,3001,1439
2015,"MUNICIPIO","2400208",57292,53227,26141,27086,13561,30240,9426,6721,15245,5120
2015,"MUNICIPIO","2400307",11202,10844,5451,5393,2983,5722,2139,1449,2824,1120
2015,"MUNICIPIO","2400406",3210,2980,1480,1500,760,1644,576,383,816,301
2015,"MUNICIPIO","2400505",13852,13507,6616,6891,3225,6946,3336,1580,3493,1818
2015,"MUNICIPIO","2400604",4899,4871,2497,2374,1159,2646,1066,572,1250,552
2015,"MUNICIPIO","2400703",13915,12305,6165,6140,3104,7213,1988,1506,3610,1024
2015,"MUNICIPIO","2400802",11907,11549,5656,5893,2719,6299,2531,1365,3151,1377
2015,"MUNICIPIO","2400901",7205,6907,3494,3413,1702,3578,1627,804,1755,854
2015,"MUNICIPIO","2401008",36189,34763,17376,17387,7763,20055,6945,3771,9971,3645
2015,"MUNICIPIO","2401107",27356,25315,12345,12970,6131,14127,5057,3018,7141,2811
2015,"MUNICIPIO","2401206",14042,12924,6410,6514,3570,7148,2206,1757,3581,1176
2015,"MUNICIPIO","2401305",9716,9289,4708,4581,2375,4963,1951,1171,2404,1006
2015,"MUNICIPIO","2401404",9182,8573,4333,4240,2462,4678,1433,1200,2295,745
2015,"MUNICIPIO","2401453",27238,24182,12271,11911,7209,13352,3621,3599,6493,1819
2015,"MUNICIPIO","2401503",4066,3950,2020,1930,1002,2009,939,492,963,475
2015,"MUNICIPIO","2401602",5458,5113,2630,2483,1487,2664,962,737,1287,459
2015,"MUNICIPIO","2401651",2358,2425,1260,1165,655,1337,433,307,634,224
2015,"MUNICIPIO","2401701",10114,9440,4708,4732,2664,4857,1919,1307,2432,993
2015,"MUNICIPIO","2401800",12509,11577,5800,5777,3226,6118,2233,1567,3039,1171
2015,"MUNICIPIO","2401859",6587,6016,3119,2897,1733,3219,1064,795,1541,561
2015,"MUNICIPIO","2401909",3608,3308,1644,1664,817,1808,683,410,880,374
2015,"MUNICIPIO","2402006",67259,62709,30373,32336,13737,35430,13542,6722,17991,7623
2015,"MUNICIPIO","2402105",11066,10266,5104,5162,2601,5377,2288,1291,2666,1205
2015,"MUNICIPIO","2402204",33623,30916,15472,15444,9495,16778,4643,4716,8275,2453
2015,"MUNICIPIO","2402303",20564,19576,9568,10008,4701,10474,4401,2294,5306,2408
2015,"MUNICIPIO","2402402",8045,7429,3716,3713,1759,4100,1570,871,2011,831
2015,"MUNICIPIO","2402501",10760,9762,4896,4866,2534,5443,1785,1280,2692,894
2015,"MUNICIPIO","2402600",72878,68141,33747,34394,19464,37130,11547,9531,18594,6269
2015,"MUNICIPIO","2402709",11318,10916,5459,5457,2901,5714,2301,1437,2777,1243
2015,"MUNICIPIO","2402808",5587,5405,2747,2658,1464,2743,1198,723,1315,620
2015,"MUNICIPIO","2402907",4963,4772,2368,2404,1425,2336,1011,702,1183,519
2015,"MUNICIPIO","2403004",8164,7967,3906,4061,1719,4373,1875,864,2177,1020
2015,"MUNICIPIO","2403103",44887,42652,20373,22279,9751,23253,9648,4825,12051,5403
2015,"MUNICIPIO","2403202",7184,6492,3193,3299,1658,3371,1463,820,1692,787
2015,"MUNICIPIO","2403251",242384,202456,96995,105461,48138,123524,30794,23686,64796,16979
2015,"MUNICIPIO","2403301",5593,5231,2565,2666,1335,2701,1195,659,1380,627
2015,"MUNICIPIO","2403400",6087,5822,2960,2862,1554,3097,1171,750,1473,639
2015,"MUNICIPIO","2403509",10727,10475,5319,5156,2998,5410,2067,1431,2634,1091
2015,"MUNICIPIO","2403608",27525,24569,12195,12374,6956,13544,4069,3414,6808,2152
2015,"MUNICIPIO","2403707",6013,5734,2869,2865,1241,3211,1282,610,1580,675
2015,"MUNICIPIO","2403756",3037,2854,1456,1398,661,1584,609,303,776,319
2015,"MUNICIPIO","2403806",9254,8959,4492,4467,1998,4884,2077,958,2388,1121
2015,"MUNICIPIO","2403905",2909,2874,1457,1417,651,1545,678,324,742,351
2015,"MUNICIPIO","2404002",4228,4233,2072,2161,969,2255,1009,494,1112,555
2015,"MUNICIPIO","2404101",2584,2159,1115,1044,628,1201,330,308,570,166
2015,"MUNICIPIO","2404200",25292,22481,11202,11279,6546,12390,3545,3191,6244,1844
2015,"MUNICIPIO","2404309",13048,12374,6318,6056,3042,6819,2513,1458,3305,1293
2015,"MUNICIPIO","2404408",10197,9393,4762,4631,2203,5389,1801,1068,2662,901
2015,"MUNICIPIO","2404507",14633,12404,6223,6181,3589,7108,1707,1773,3535,873
2015,"MUNICIPIO","2404606",13400,12171,6276,5895,3585,6451,2135,1742,3081,1072
2015,"MUNICIPIO","2404705",15147,13856,7002,6854,3890,7697,2269,1919,3790,1145
2015,"MUNICIPIO","2404804",2221,2077,1038,1039,473,1073,531,216,545,278
2015,"MUNICIPIO","2404853",7457,6932,3543,3389,1913,3957,1062,893,1939,557
