ANO,NIVEL,CODMUNRES,POPR_RA,POPR_RE
2015,MUNICIPIO,240010,9.151,9.151
2015,MUNICIPIO,240020,42.364,NA
2015,MUNICIPIO,240030,5.475,4.706
2015,MUNICIPIO,240040,2.055,NA
2015,MUNICIPIO,240050,13.512,5.513
2015,MUNICIPIO,240060,3.499,NA
2015,MUNICIPIO,240070,9.966,197
2015,MUNICIPIO,240080,10.507,NA
2015,MUNICIPIO,240090,2.879,1.527
2015,MUNICIPIO,240100,18.584,NA
2015,MUNICIPIO,240110,21.955,NA
2015,MUNICIPIO,240120,8.876,NA
2015,MUNICIPIO,240130,5.232,NA
2015,MUNICIPIO,240140,7.634,NA
2015,MUNICIPIO,240145,17.132,NA
2015,MUNICIPIO,240150,3.861,NA
2015,MUNICIPIO,240160,2.277,NA
2015,MUNICIPIO,240165,1.367,NA
2015,MUNICIPIO,240170,7.387,NA
2015,MUNICIPIO,240180,8.925,NA
2015,MUNICIPIO,240185,4.788,NA
2015,MUNICIPIO,240190,2.845,916
2015,MUNICIPIO,240200,61.630,5.683
2015,MUNICIPIO,240210,5.651,1.098
2015,MUNICIPIO,240220,22.089,NA
2015,MUNICIPIO,240230,14.514,NA
2015,MUNICIPIO,240240,5.227,NA
2015,MUNICIPIO,240250,3.167,2.405
2015,MUNICIPIO,240260,69.989,24.821
2015,MUNICIPIO,240270,5.807,NA
2015,MUNICIPIO,240280,2.350,NA
2015,MUNICIPIO,240290,1.700,NA
2015,MUNICIPIO,240300,6.682,6.000
2015,MUNICIPIO,240310,37.929,30.087
2015,MUNICIPIO,240320,3.756,1.392
2015,MUNICIPIO,240330,2.464,5.593
2015,MUNICIPIO,240340,4.707,NA
2015,MUNICIPIO,240350,5.120,1.679
2015,MUNICIPIO,240360,27.525,NA
2015,MUNICIPIO,240370,3.470,NA
2015,MUNICIPIO,240375,2.635,NA
2015,MUNICIPIO,240380,7.114,7.083
2015,MUNICIPIO,240390,1.667,NA
2015,MUNICIPIO,240400,2.809,NA
2015,MUNICIPIO,240410,NA,NA
2015,MUNICIPIO,240420,17.435,2.752
2015,MUNICIPIO,240430,6.092,NA
2015,MUNICIPIO,240440,7.642,NA
2015,MUNICIPIO,240450,9.239,NA
2015,MUNICIPIO,240460,1.869,NA
2015,MUNICIPIO,240470,3.842,NA
2015,MUNICIPIO,240480,2.020,NA
2015,MUNICIPIO,240485,NA,NA
2015,MUNICIPIO,240490,5.161,NA
2015,MUNICIPIO,240500,3.938,NA
2015,MUNICIPIO,240510,3.340,NA
2015,MUNICIPIO,240520,4.101,NA
2015,MUNICIPIO,240530,3.518,NA
2015,MUNICIPIO,240540,3.937,NA
2015,MUNICIPIO,240550,1.432,NA
2015,MUNICIPIO,240560,11.276,11.459
2015,MUNICIPIO,240570,10.192,NA
2015,MUNICIPIO,240580,25.385,9.237
2015,MUNICIPIO,240590,972,NA
2015,MUNICIPIO,240600,3.651,413
2015,MUNICIPIO,240610,11.341,3.757
2015,MUNICIPIO,240615,1.032,NA
2015,MUNICIPIO,240620,4.307,NA
2015,MUNICIPIO,240630,4.203,NA
2015,MUNICIPIO,240640,2.765,NA
2015,MUNICIPIO,240650,7.586,5.042
2015,MUNICIPIO,240660,5.387,NA
2015,MUNICIPIO,240670,8.840,6.179
2015,MUNICIPIO,240680,2.489,1.512
2015,MUNICIPIO,240690,2.416,2.468
2015,MUNICIPIO,240700,6.625,NA
2015,MUNICIPIO,240710,41.001,2.426
2015,MUNICIPIO,240720,23.797,20.618
2015,MUNICIPIO,240725,NA,NA
2015,MUNICIPIO,240730,5.058,NA
2015,MUNICIPIO,240740,5.340,NA
2015,MUNICIPIO,240750,NA,NA
2015,MUNICIPIO,240760,2.482,NA
2015,MUNICIPIO,240770,9.046,NA
2015,MUNICIPIO,240780,18.547,1.235
2015,MUNICIPIO,240790,1.821,NA
2015,MUNICIPIO,240800,263.279,129.456
2015,MUNICIPIO,240810,825.384,326.907
2015,MUNICIPIO,240820,15.612,NA
2015,MUNICIPIO,240830,26.784,7.220
2015,MUNICIPIO,240840,3.026,NA
2015,MUNICIPIO,240850,3.377,2.500
2015,MUNICIPIO,240860,2.874,NA
2015,MUNICIPIO,240870,3.424,NA
2015,MUNICIPIO,240880,3.556,NA
2015,MUNICIPIO,240890,18.032,17.786
2015,MUNICIPIO,240325,242.384,6.774
2015,MUNICIPIO,240910,7.724,7.010
2015,MUNICIPIO,240920,1.265,NA
2015,MUNICIPIO,240930,417,NA
2015,MUNICIPIO,240940,27.622,3.782
2015,MUNICIPIO,240950,1.341,NA
2015,MUNICIPIO,240960,982,NA
2015,MUNICIPIO,240970,4.056,3.256
2015,MUNICIPIO,240980,14.128,2.857
2015,MUNICIPIO,240990,10.168,4.223
2015,MUNICIPIO,241000,2.759,NA
2015,MUNICIPIO,241010,13.013,NA
2015,MUNICIPIO,241020,4.101,NA
2015,MUNICIPIO,241025,2.010,NA
2015,MUNICIPIO,241030,9.150,NA
2015,MUNICIPIO,241040,3.429,NA
2015,MUNICIPIO,241050,2.841,NA
2015,MUNICIPIO,241060,2.028,NA
2015,MUNICIPIO,241070,1.987,NA
